Site,Date,Enterococcus,Weather
WC1,5/11/17,12,D
WC2,5/11/17,44,D
WC3,5/11/17,1,D
CIC2,5/10/17,192,D
GC3,5/10/17,60,D
GC4,5/10/17,28,D
GC5,5/10/17,68,D
GC6,5/10/17,12,D
SP1,5/10/17,600,D
F1,5/9/17,4,D
F5,5/9/17,10,D
HC1,5/9/17,76,D
HC2,5/9/17,6,D
HC3,5/9/17,2,D
J14,5/9/17,2,D
J15,5/9/17,2,D
J16,5/9/17,2,D
AC1,5/4/17,NS,NS
AC2,5/4/17,212,D
BR1,5/4/17,64,D
BR3,5/4/17,12,D
E12,5/4/17,4,D
E13,5/4/17,1,D
HR03,5/4/17,16,D
HR1,5/4/17,8,D
HR2,5/4/17,28,D
WC1,5/4/17,7,D
WC2,5/4/17,42,D
WC3,5/4/17,6,D
CIC2,5/3/17,600,D
GC3,5/3/17,32,D
GC4,5/3/17,92,D
GC5,5/3/17,48,D
GC6,5/3/17,76,D
SP1,5/3/17,4,D
F1,5/2/17,8,D
F5,5/2/17,2,D
HC1,5/2/17,46,D
HC2,5/2/17,16,D
HC3,5/2/17,4,D
J14,5/2/17,4,D
J15,5/2/17,2,D
J16,5/2/17,2,D
F1,4/12/17,10,D
F5,4/12/17,22,D
HC1,4/12/17,36,D
HC2,4/12/17,20,D
HC3,4/12/17,2,D
J14,4/12/17,2,D
J15,4/12/17,2,D
J16,4/12/17,2,D
CIC2,4/11/17,280,D
GC3,4/11/17,16,D
GC4,4/11/17,8,D
GC5,4/11/17,24,D
GC6,4/11/17,48,D
SP1,4/11/17,12,D
AC1,4/6/17,1400,W
AC2,4/6/17,430,W
BR1,4/6/17,400,W
BR3,4/6/17,370,W
E12,4/6/17,10,W
E13,4/6/17,36,W
HR03,4/6/17,NS,NS
HR1,4/6/17,NS,NS
HR2,4/6/17,NS,NS
WC1,4/6/17,152,W
WC2,4/6/17,208,W
WC3,4/6/17,12,W
BB2,4/5/17,168,W
BB4,4/5/17,20,W
GHC,4/5/17,4,W
HOB,4/5/17,30,W
J1,4/5/17,2,W
J10,4/5/17,4,W
J11,4/5/17,2,W
J12,4/5/17,4,W
J2,4/5/17,2,W
J3,4/5/17,4,W
J5,4/5/17,6,W
J7,4/5/17,4,W
J8,4/5/17,4,W
J9A,4/5/17,4,W
JA1,4/5/17,2,W
N16,4/5/17,NS,NS
N9,4/5/17,10,W
N9A,4/5/17,6,W
PB2,4/5/17,8,W
PB3,4/5/17,6,W
SP2,4/5/17,2,W
TB1,4/5/17,107,W
TB2,4/5/17,20,W
CIC3,4/4/17,660,W
G2,4/4/17,284,W
GB1,4/4/17,720,W
K1,4/4/17,160,W
K2,4/4/17,139,W
K3,4/4/17,324,W
K4,4/4/17,272,W
K5,4/4/17,48,W
K5A,4/4/17,34,W
K6,4/4/17,NS,NS
N6,4/4/17,196,W
N7,4/4/17,460,W
N8,4/4/17,247,W
NC0,4/4/17,17900,W
NC1,4/4/17,12800,W
NC2,4/4/17,13400,W
NC3,4/4/17,860,W
BR5,4/3/17,19,D
E10,4/3/17,1,D
E11,4/3/17,1,D
E14,4/3/17,12,D
E15,4/3/17,32,D
E2,4/3/17,56,D
E4,4/3/17,15,D
E6,4/3/17,12,D
E7,4/3/17,6,D
E8,4/3/17,7,D
FB1,4/3/17,14,D
FLC1,4/3/17,192,D
FLC2,4/3/17,68,D
H3,4/3/17,96,D
LN1,4/3/17,1,D
N1,4/3/17,52,D
N3B,4/3/17,72,D
N4,4/3/17,50,D
N5,4/3/17,78,D
NR1,4/3/17,64,D
BB2,3/29/17,176,W
BB4,3/29/17,26,W
GHC,3/29/17,2,W
HOB,3/29/17,4,W
J1,3/29/17,2,W
J10,3/29/17,2,W
J11,3/29/17,20,W
J12,3/29/17,2,W
J2,3/29/17,2,W
J3,3/29/17,2,W
J5,3/29/17,4,W
J7,3/29/17,14,W
J8,3/29/17,6,W
J9A,3/29/17,4,W
JA1,3/29/17,8,W
N16,3/29/17,2,W
N9,3/29/17,2,W
N9A,3/29/17,2,W
PB2,3/29/17,2,W
PB3,3/29/17,2,W
SP2,3/29/17,2,W
TB1,3/29/17,92,W
TB2,3/29/17,20,W
CIC2,3/27/17,9400,W
GC3,3/27/17,10,W
GC4,3/27/17,10,W
GC5,3/27/17,10,W
GC6,3/27/17,30,W
SP1,3/27/17,290,W
AC1,3/23/17,48,D
AC2,3/23/17,400,D
BR1,3/23/17,116,D
BR3,3/23/17,4,D
E12,3/23/17,4,D
E13,3/23/17,1,D
HR03,3/23/17,20,D
HR1,3/23/17,16,D
HR2,3/23/17,56,D
WC1,3/23/17,12,D
WC2,3/23/17,24,D
WC3,3/23/17,2,D
F1,3/21/17,4,W
F5,3/21/17,4,W
HC1,3/21/17,10,W
HC2,3/21/17,10,W
HC3,3/21/17,10,W
J14,3/21/17,4,W
J15,3/21/17,4,W
J16,3/21/17,4,W
CIC3,3/8/17,12,W
G2,3/8/17,2,W
GB1,3/8/17,6,W
K1,3/8/17,8,W
K2,3/8/17,4,W
K3,3/8/17,10,W
K4,3/8/17,4,W
K5,3/8/17,12,W
K5A,3/8/17,4,W
K6,3/8/17,NS,NS
N6,3/8/17,18,W
N7,3/8/17,10,W
N8,3/8/17,2,W
NC0,3/8/17,90,W
NC1,3/8/17,620,W
NC2,3/8/17,535,W
NC3,3/8/17,280,W
BR5,3/7/17,15,D
E10,3/7/17,4,D
E11,3/7/17,5,D
E14,3/7/17,1,D
E15,3/7/17,22,D
E2,3/7/17,9,D
E4,3/7/17,14,D
E6,3/7/17,66,D
E7,3/7/17,2,D
E8,3/7/17,1,D
FB1,3/7/17,6,D
FLC1,3/7/17,118,D
FLC2,3/7/17,58,D
H3,3/7/17,40,D
LN1,3/7/17,NS,NS
N1,3/7/17,60,D
N3B,3/7/17,33,D
N4,3/7/17,23,D
N5,3/7/17,11,D
NR1,3/7/17,64,D
AC1,2/16/17,112,D
AC2,2/16/17,80,D
BR1,2/16/17,172,D
BR3,2/16/17,68,D
E12,2/16/17,8,D
E13,2/16/17,6,D
HR03,2/16/17,88,D
HR1,2/16/17,235,D
HR2,2/16/17,12,D
WC1,2/16/17,42,D
WC2,2/16/17,40,D
WC3,2/16/17,6,D
CIC3,2/15/17,23,D
G2,2/15/17,5,D
GB1,2/15/17,4,D
K1,2/15/17,26,D
K2,2/15/17,12,D
K3,2/15/17,17,D
K4,2/15/17,30,D
K5,2/15/17,35,D
K5A,2/15/17,61,D
K6,2/15/17,1,D
N6,2/15/17,2,D
N7,2/15/17,7,D
N8,2/15/17,1,D
NC0,2/15/17,410,D
NC1,2/15/17,420,D
NC2,2/15/17,320,D
NC3,2/15/17,177,D
F1,2/14/17,32,D
F5,2/14/17,8,D
HC1,2/14/17,58,D
HC2,2/14/17,2,D
HC3,2/14/17,2,D
J14,2/14/17,8,D
J15,2/14/17,2,D
J16,2/14/17,2,D
CIC2,2/13/17,2600,W
GC3,2/13/17,20,W
GC4,2/13/17,20,W
GC5,2/13/17,30,W
GC6,2/13/17,10,W
SP1,2/13/17,10,W
BB2,2/8/17,183,D
BB4,2/8/17,16,D
GHC,2/8/17,1,D
HOB,2/8/17,3,D
J1,2/8/17,3,D
J10,2/8/17,2,D
J11,2/8/17,2,D
J12,2/8/17,1,D
J2,2/8/17,2,D
J3,2/8/17,5,D
J5,2/8/17,2,D
J7,2/8/17,10,D
J8,2/8/17,4,D
J9A,2/8/17,4,D
JA1,2/8/17,1,D
N16,2/8/17,NS,NS
N9,2/8/17,4,D
N9A,2/8/17,1,D
PB2,2/8/17,3,D
PB3,2/8/17,4,D
SP2,2/8/17,9,D
TB1,2/8/17,124,D
TB2,2/8/17,51,D
BR5,2/6/17,8,D
E10,2/6/17,10,D
E11,2/6/17,12,D
E14,2/6/17,6,D
E15,2/6/17,1,D
E2,2/6/17,16,D
E4,2/6/17,12,D
E6,2/6/17,1,D
E7,2/6/17,2,D
E8,2/6/17,1,D
FB1,2/6/17,6,D
FLC1,2/6/17,64,D
FLC2,2/6/17,166,D
H3,2/6/17,32,D
LN1,2/6/17,NS,NS
N1,2/6/17,25,D
N3B,2/6/17,8,D
N4,2/6/17,2,D
N5,2/6/17,5,D
NR1,2/6/17,4,D
CIC3,1/19/17,46,W
G2,1/19/17,36,W
GB1,1/19/17,22,W
K1,1/19/17,14,W
K2,1/19/17,30,W
K3,1/19/17,102,W
K4,1/19/17,22,W
K5,1/19/17,18,W
K5A,1/19/17,12,W
K6,1/19/17,6,W
N6,1/19/17,18,W
N7,1/19/17,28,W
N8,1/19/17,32,W
NC0,1/19/17,5800,W
NC1,1/19/17,1137,W
NC2,1/19/17,2600,W
NC3,1/19/17,470,W
BR5,1/18/17,10,W
E10,1/18/17,2,W
E11,1/18/17,2,W
E14,1/18/17,2,W
E15,1/18/17,140,W
E2,1/18/17,26,W
E4,1/18/17,2,W
E6,1/18/17,20,W
E7,1/18/17,10,W
E8,1/18/17,8,W
FB1,1/18/17,54,W
FLC1,1/18/17,370,W
FLC2,1/18/17,100,W
H3,1/18/17,20,W
LN1,1/18/17,6,W
N1,1/18/17,12,W
N3B,1/18/17,16,W
N4,1/18/17,10,W
N5,1/18/17,40,W
NR1,1/18/17,14,W
F1,1/17/17,97,D
F5,1/17/17,26,D
HC1,1/17/17,89,D
HC2,1/17/17,2,D
HC3,1/17/17,14,D
J14,1/17/17,18,D
J15,1/17/17,4,D
J16,1/17/17,6,D
BB2,1/11/17,59000,W
BB4,1/11/17,560,W
GHC,1/11/17,2,W
HOB,1/11/17,30,W
J1,1/11/17,12,W
J10,1/11/17,4,W
J11,1/11/17,184,W
J12,1/11/17,60,W
J2,1/11/17,6,W
J3,1/11/17,8,W
J5,1/11/17,4,W
J7,1/11/17,26,W
J8,1/11/17,132,W
J9A,1/11/17,20,W
JA1,1/11/17,2,W
N16,1/11/17,NS,NS
N9,1/11/17,2,W
N9A,1/11/17,2,W
PB2,1/11/17,NS,NS
PB3,1/11/17,NS,NS
SP2,1/11/17,40,W
TB1,1/11/17,840,W
TB2,1/11/17,188,W
AC1,1/5/17,20,W
AC2,1/5/17,40,W
BR1,1/5/17,480,W
BR3,1/5/17,20,W
E12,1/5/17,10,W
E13,1/5/17,10,W
HR03,1/5/17,10,W
HR1,1/5/17,10,W
HR2,1/5/17,30,W
WC1,1/5/17,NS,NS
WC2,1/5/17,NS,NS
WC3,1/5/17,NS,NS
CIC2,1/4/17,3000,W
GC3,1/4/17,70,W
GC4,1/4/17,20,W
GC5,1/4/17,50,W
GC6,1/4/17,50,W
SP1,1/4/17,10,W
